Source,Target,weight,call_weight,meeting_weight,channels,edge_type
N0,N1,1,0,1,meeting,meeting
N0,N2,1,0,1,meeting,meeting
N1,N0,1,0,1,meeting,meeting
N1,N2,1,0,1,meeting,meeting
N10,N11,1,0,1,meeting,meeting
N10,N12,1,0,1,meeting,meeting
N10,N13,1,0,1,meeting,meeting
N10,N14,1,0,1,meeting,meeting
N10,N68,1,0,1,meeting,meeting
N100,N18,6,5,1,call+meeting,both
N100,N23,1,0,1,meeting,meeting
N100,N25,1,0,1,meeting,meeting
N100,N34,1,0,1,meeting,meeting
N102,N18,1,1,0,call,call
N103,N18,1,1,0,call,call
N104,N18,1,1,0,call,call
N106,N107,1,1,0,call,call
N108,N18,1,1,0,call,call
N109,N111,1,1,0,call,call
N109,N22,3,3,0,call,call
N11,N10,1,0,1,meeting,meeting
N11,N12,11,1,10,call+meeting,both
N11,N13,3,0,3,meeting,meeting
N11,N14,2,0,2,meeting,meeting
N11,N18,1,0,1,meeting,meeting
N11,N25,5,0,5,meeting,meeting
N11,N28,1,0,1,meeting,meeting
N11,N3,1,0,1,meeting,meeting
N11,N5,1,0,1,meeting,meeting
N11,N6,1,0,1,meeting,meeting
N11,N68,2,0,2,meeting,meeting
N11,N85,1,0,1,meeting,meeting
N110,N109,1,1,0,call,call
N110,N18,1,1,0,call,call
N117,N61,2,2,0,call,call
N119,N27,1,1,0,call,call
N12,N10,1,0,1,meeting,meeting
N12,N11,10,0,10,meeting,meeting
N12,N13,3,0,3,meeting,meeting
N12,N14,2,0,2,meeting,meeting
N12,N18,2,0,2,meeting,meeting
N12,N21,1,0,1,meeting,meeting
N12,N25,5,0,5,meeting,meeting
N12,N28,1,0,1,meeting,meeting
N12,N3,1,0,1,meeting,meeting
N12,N5,1,0,1,meeting,meeting
N12,N6,1,0,1,meeting,meeting
N12,N68,2,0,2,meeting,meeting
N12,N84,1,0,1,meeting,meeting
N12,N85,2,0,2,meeting,meeting
N12,N86,1,0,1,meeting,meeting
N12,N87,1,0,1,meeting,meeting
N127,N18,1,1,0,call,call
N128,N61,2,2,0,call,call
N129,N61,1,1,0,call,call
N13,N10,1,0,1,meeting,meeting
N13,N11,3,0,3,meeting,meeting
N13,N12,3,0,3,meeting,meeting
N13,N14,2,0,2,meeting,meeting
N13,N68,2,0,2,meeting,meeting
N13,N85,1,0,1,meeting,meeting
N131,N61,4,4,0,call,call
N133,N61,1,1,0,call,call
N134,N61,1,1,0,call,call
N136,N27,1,1,0,call,call
N138,N27,1,1,0,call,call
N139,N29,1,1,0,call,call
N14,N10,1,0,1,meeting,meeting
N14,N101,2,2,0,call,call
N14,N11,2,0,2,meeting,meeting
N14,N12,2,0,2,meeting,meeting
N14,N13,2,0,2,meeting,meeting
N14,N68,2,0,2,meeting,meeting
N14,N85,1,0,1,meeting,meeting
N140,N18,1,1,0,call,call
N143,N11,2,2,0,call,call
N143,N144,1,1,0,call,call
N144,N11,1,1,0,call,call
N144,N143,1,1,0,call,call
N145,N11,2,2,0,call,call
N147,N47,1,1,0,call,call
N148,N36,1,1,0,call,call
N150,N68,1,1,0,call,call
N151,N47,4,4,0,call,call
N152,N68,1,1,0,call,call
N153,N18,1,1,0,call,call
N16,N17,1,0,1,meeting,meeting
N17,N16,1,0,1,meeting,meeting
N18,52,4,4,0,call,call
N18,N100,1,0,1,meeting,meeting
N18,N11,1,0,1,meeting,meeting
N18,N12,2,0,2,meeting,meeting
N18,N125,2,2,0,call,call
N18,N132,1,1,0,call,call
N18,N146,1,1,0,call,call
N18,N19,7,5,2,call+meeting,both
N18,N20,1,0,1,meeting,meeting
N18,N21,3,2,1,call+meeting,both
N18,N22,10,4,6,call+meeting,both
N18,N23,2,0,2,meeting,meeting
N18,N25,2,0,2,meeting,meeting
N18,N27,1,0,1,meeting,meeting
N18,N29,11,7,4,call+meeting,both
