Node,degree,weighted_degree,in_strength,out_strength,pagerank,betweenness,weak_component,weak_component_size,Role,Relationship,Request,family_role,family,arrested
N11,10,15.0,15.0,10.0,0.03843814637594767,0.008820356621613045,1,16,boss Cosa Nostra in Messina,,,boss Cosa Nostra in Messina,Unknown,0.0
N79,3,3.0,3.0,3.0,0.02964603074386645,0.0003807348181991243,3,4,enterpreneur,external partnership,,enterpreneur,Unknown,0.0
N34,2,2.0,2.0,2.0,0.029479099839513218,0.00019036740909956216,5,3,,tapped with 18,,,,0.0
N5,8,9.0,9.0,9.0,0.029054319719546855,0.001967129894028809,1,16,,sighted with 11 12 and 13,,,,0.0
N6,8,9.0,9.0,9.0,0.029054319719546855,0.001967129894028809,1,16,,sighted with 3 4 5 7 and 8,,,,0.0
N3,7,7.0,7.0,7.0,0.022929816156467806,0.0015229392727964977,1,16,boss family ''Caltagirone'',,,boss,Caltagirone,0.0
N13,3,6.0,6.0,6.0,0.020622020079451967,0.0,1,16,enterpreneur,nephew of 11,,enterpreneur,Unknown,0.0
N0,2,2.0,2.0,2.0,0.02020946401034823,0.0,4,3,cooperating witness,,,cooperating witness,Unknown,0.0
N1,2,2.0,2.0,2.0,0.02020946401034823,0.0,4,3,,conversation with 0,,,,0.0
N2,2,2.0,2.0,2.0,0.02020946401034823,0.0,4,3,boss family ''Barcellona Pozzo di Gotto'',,,boss,Barcellona Pozzo di Gotto,0.0
N84,2,2.0,2.0,2.0,0.02020946401034823,0.0,7,3,enterpreneur,external partnership,,enterpreneur,Unknown,0.0
N86,2,2.0,2.0,2.0,0.02020946401034823,0.0,7,3,enterpreneur,sighted with 87,,enterpreneur,Unknown,0.0
N87,2,2.0,2.0,2.0,0.02020946401034823,0.0,7,3,enterpreneur,sighted with 85,,enterpreneur,Unknown,0.0
N16,1,1.0,1.0,1.0,0.02020946401034823,0.0,9,2,boss family ''Brancaccio'',,,boss,Brancaccio,0.0
N17,1,1.0,1.0,1.0,0.02020946401034823,0.0,9,2,,tapped with 16,,,,0.0
N73,1,1.0,1.0,1.0,0.02020946401034823,0.0,10,2,,mother of 74 and wife of 22,,,,0.0
N74,1,1.0,1.0,1.0,0.02020946401034823,0.0,10,2,,son of 22,,,,0.0
N91,1,1.0,1.0,1.0,0.02020946401034823,0.0,11,2,car electrician,in contact with 36,,car electrician,Unknown,0.0
N92,1,1.0,1.0,1.0,0.02020946401034823,0.0,11,2,lawyer,in contact with 91 and 36,,lawyer,Unknown,0.0
N93,1,1.0,1.0,1.0,0.02020946401034823,0.0,12,2,,sighted with various members of families,,,,0.0
N95,1,1.0,1.0,1.0,0.02020946401034823,0.0,12,2,member family ''Batanesi'',,,member,Batanesi,0.0
N41,3,3.0,3.0,3.0,0.020209464010348226,0.0,2,4,member family ''Mazzaroti'',,,member,Mazzaroti,0.0
N42,3,3.0,3.0,3.0,0.020209464010348226,0.0,2,4,boss family ''Tortorici'',,,boss,Tortorici,0.0
N39,3,3.0,3.0,3.0,0.020209464010348222,0.0,2,4,executive family ''Batanesi'',,,executive,Batanesi,0.0
N40,3,3.0,3.0,3.0,0.020209464010348222,0.0,2,4,member family ''Mazzaroti'',,,member,Mazzaroti,0.0
N81,2,2.0,2.0,2.0,0.019880222431813473,0.0,3,4,,sighted with 80 and 82,,,,0.0
N82,2,2.0,2.0,2.0,0.019880222431813473,0.0,3,4,,sighted with 80 and 81,,,,0.0
N4,6,6.0,6.0,6.0,0.019661400149008024,0.0,1,16,enterpreneur,,,enterpreneur,Unknown,0.0
N7,6,6.0,6.0,6.0,0.019661400149008024,0.0,1,16,,sighted with 3 4 5 6 7 and 8,,,,0.0
N8,6,6.0,6.0,6.0,0.01966140014900802,0.0,1,16,,sighted with 3 4 5 6 and 7,,,,0.0
N9,6,6.0,6.0,6.0,0.01966140014900802,0.0,1,16,,sighted with 3 5 6 7 4 and 8,,,,0.0
