Node,Role,Relationship,Request,family_role,family,arrested
N0,cooperating witness,,,cooperating witness,Unknown,0
N1,,conversation with 0,,,,0
N2,boss family ''Barcellona Pozzo di Gotto'',,,boss,Barcellona Pozzo di Gotto,0
N3,boss family ''Caltagirone'',,,boss,Caltagirone,0
N4,enterpreneur,,,enterpreneur,Unknown,0
N5,,sighted with 11 12 and 13,,,,0
N6,,sighted with 3 4 5 7 and 8,,,,0
N7,,sighted with 3 4 5 6 7 and 8,,,,0
N8,,sighted with 3 4 5 6 and 7,,,,0
N9,,sighted with 3 5 6 7 4 and 8,,,,0
N10,enterpreneur,,,enterpreneur,Unknown,0
N11,boss Cosa Nostra in Messina,,,boss Cosa Nostra in Messina,Unknown,0
N12,member family ''Mistretta'',,arrested,member,Mistretta,1
N13,enterpreneur,nephew of 11,,enterpreneur,Unknown,0
N14,boss family ''Mazzaroti'',,arrest request denied,boss,Mazzaroti,0
N16,boss family ''Brancaccio'',,,boss,Brancaccio,0
N17,,tapped with 16,,,,0
N18,executive family ''Mistretta'',,arrested,executive,Mistretta,1
N19,,external partnership,arrested,,,1
N20,,,fugitive,,,0
N21,enterpreneur,,arrested,enterpreneur,Unknown,1
N22,Pharmacist-member,,arrested,Pharmacist-member,Unknown,1
N23,executive family,,arrested,executive,Unknown,1
N24,,external partnership,,,,0
N25,executive family ''Mistretta'',,arrested,executive,Mistretta,1
N26,member of family ''San Mauro Castelverde'',,,member of,San Mauro Castelverde,0
N27,executive family ''Batanesi'',,arrested,executive,Batanesi,1
N28,,sighted with 11 13 and 5,,,,0
N29,enterpreneur,,arrested,enterpreneur,Unknown,1
N30,,father of 30,,,,0
N31,enterpreneur,,,enterpreneur,Unknown,0
N32,member family ''Mistretta'',,,member,Mistretta,0
N33,,external partnership,arrested,,,1
N34,,tapped with 18,,,,0
N36,,aiding and abetting of a fugitive,arrested,,,1
N39,executive family ''Batanesi'',,,executive,Batanesi,0
N40,member family ''Mazzaroti'',,,member,Mazzaroti,0
N41,member family ''Mazzaroti'',,,member,Mazzaroti,0
N42,boss family ''Tortorici'',,,boss,Tortorici,0
N43,intermediator,,arrested,intermediator,Unknown,1
N45,member family ''Batanesi'',,arrested,member,Batanesi,1
N46,boss family ''Tortorici'',,,boss,Tortorici,0
N47,deputy boss family ''Batanesi'',,arrested,deputy boss,Batanesi,1
N48,member family ''Batanesi'',,arrested,member,Batanesi,1
N49,member family ''Batanesi'',,house arrest,member,Batanesi,1
