Node,family_role,family,current_pagerank,current_weighted_degree,current_component_size,future_arrest_priority_score
N11,boss Cosa Nostra in Messina,Unknown,0.03843814637594767,15.0,16.0,0.9970588235294117
N3,boss,Caltagirone,0.022929816156467806,7.0,16.0,0.9294117647058823
N6,,,0.029054319719546855,9.0,16.0,0.9068627450980392
N5,,,0.029054319719546855,9.0,16.0,0.9068627450980392
N79,enterpreneur,Unknown,0.02964603074386645,3.0,4.0,0.8901960784313726
N39,executive,Batanesi,0.020209464010348222,3.0,4.0,0.8752450980392158
N14,boss,Mazzaroti,0.018664737895870386,7.0,16.0,0.8661764705882352
N34,,,0.029479099839513218,2.0,3.0,0.844607843137255
N40,member,Mazzaroti,0.020209464010348222,3.0,4.0,0.8365196078431373
N13,enterpreneur,Unknown,0.020622020079451967,6.0,16.0,0.8176470588235294
