Node,degree,weighted_degree,in_strength,out_strength,pagerank,betweenness,weak_component,weak_component_size,Role,Relationship,Request,family_role,family,arrested,neighbor_count,surviving_neighbor_count,cross_family_reach,role_priority_score,pagerank_pct,betweenness_pct,surviving_neighbor_count_pct,cross_family_reach_pct,role_priority_score_pct,interrogation_priority_score
N18,40,85.0,74.0,71.0,0.054437228746179366,0.3055110398860399,1,135,executive family ''Mistretta'',,arrested,executive,Mistretta,1.0,40,23,16,3,1.0,1.0,1.0,1.0,0.8902439024390244,0.9890243902439024
N47,28,103.0,86.0,99.0,0.04749105048753502,0.23857161357161358,1,135,deputy boss family ''Batanesi'',,arrested,deputy boss,Batanesi,1.0,27,10,9,4,0.975609756097561,0.975609756097561,0.9512195121951219,0.9634146341463414,0.9878048780487805,0.9701219512195122
N68,25,54.0,56.0,48.0,0.03325845992166112,0.12495953120953122,1,135,executive family ''Batanesi'',,arrested,executive,Batanesi,1.0,25,8,6,3,0.9512195121951219,0.926829268292683,0.9024390243902439,0.7682926829268293,0.8902439024390244,0.901829268292683
N61,18,33.0,29.0,29.0,0.03325479307204368,0.09586247086247086,1,135,executive family ''Mistretta'',,arrested,executive,Mistretta,1.0,18,7,8,3,0.926829268292683,0.8536585365853658,0.8536585365853658,0.9024390243902439,0.8902439024390244,0.8865853658536585
N22,17,45.0,47.0,40.0,0.030940416577069085,0.11468045843045843,1,135,Pharmacist-member,,arrested,Pharmacist-member,Unknown,1.0,17,8,9,2,0.8780487804878049,0.9024390243902439,0.9024390243902439,0.9634146341463414,0.6585365853658537,0.8798780487804878
N27,19,55.0,54.0,54.0,0.032027028482504834,0.07753820253820254,1,135,executive family ''Batanesi'',,arrested,executive,Batanesi,1.0,19,5,8,3,0.9024390243902439,0.7804878048780488,0.7682926829268293,0.9024390243902439,0.8902439024390244,0.8439024390243903
N12,16,35.0,36.0,35.0,0.027096682480973692,0.08019781144781148,1,135,member family ''Mistretta'',,arrested,member,Mistretta,1.0,16,11,6,2,0.8292682926829268,0.8048780487804879,0.975609756097561,0.7682926829268293,0.6585365853658537,0.8262195121951219
N25,13,25.0,24.0,25.0,0.018661030032102593,0.04869123931623935,1,135,executive family ''Mistretta'',,arrested,executive,Mistretta,1.0,13,8,7,3,0.7073170731707317,0.7560975609756098,0.9024390243902439,0.8414634146341463,0.8902439024390244,0.7969512195121952
N29,16,46.0,44.0,46.0,0.029000351082462423,0.21197552447552448,1,135,enterpreneur,,arrested,enterpreneur,Unknown,1.0,16,4,8,1,0.8536585365853658,0.9512195121951219,0.6707317073170732,0.9024390243902439,0.3170731707317073,0.7951219512195122
N45,14,49.0,48.0,41.0,0.025865851467520243,0.03985366485366485,1,135,member family ''Batanesi'',,arrested,member,Batanesi,1.0,14,5,5,2,0.8048780487804879,0.7317073170731707,0.7682926829268293,0.6829268292682927,0.6585365853658537,0.7463414634146341
N36,10,19.0,18.0,16.0,0.01442792691540395,0.09697940947940947,1,135,,aiding and abetting of a fugitive,arrested,,,1.0,10,4,7,0,0.6097560975609756,0.8780487804878049,0.6707317073170732,0.8414634146341463,0.07317073170731707,0.6701219512195122
N23,9,17.0,17.0,12.0,0.011640060052581875,0.015989219114219116,1,135,executive family,,arrested,executive,Unknown,1.0,9,4,6,3,0.5365853658536586,0.6097560975609756,0.6707317073170732,0.7682926829268293,0.8902439024390244,0.6518292682926828
N89,11,46.0,46.0,46.0,0.02481523034504849,0.019716394716394716,1,135,member family ''Batanesi'',,arrested,member,Batanesi,1.0,11,3,2,2,0.7804878048780488,0.6341463414634146,0.5853658536585366,0.4146341463414634,0.6585365853658537,0.6378048780487804
N43,9,28.0,27.0,26.0,0.01530437386259523,0.09277874902874902,1,135,intermediator,,arrested,intermediator,Unknown,1.0,9,1,6,1,0.6585365853658537,0.8292682926829268,0.3780487804878049,0.7682926829268293,0.3170731707317073,0.6274390243902439
N48,12,31.0,35.0,31.0,0.019624620447418445,0.004354441854441855,1,135,member family ''Batanesi'',,arrested,member,Batanesi,1.0,12,4,3,2,0.7560975609756098,0.43902439024390244,0.6707317073170732,0.5609756097560976,0.6585365853658537,0.6207317073170731
N19,11,19.0,18.0,17.0,0.014926950164839841,0.023115773115773116,1,135,,external partnership,arrested,,,1.0,11,5,3,0,0.6341463414634146,0.6829268292682927,0.7682926829268293,0.5609756097560976,0.07317073170731707,0.6060975609756097
N75,11,22.0,5.0,22.0,0.004093764644639191,0.027583527583527584,1,135,member family ''Mistretta'',,arrested,member,Mistretta,1.0,11,5,2,2,0.24390243902439024,0.7073170731707317,0.7682926829268293,0.4146341463414634,0.6585365853658537,0.5317073170731708
N76,7,18.0,18.0,18.0,0.012394305253450122,0.00019425019425019425,1,135,enterpreneur,external partnership,arrested,enterpreneur,Unknown,1.0,7,2,5,1,0.5609756097560976,0.3902439024390244,0.5,0.6829268292682927,0.3170731707317073,0.5
N51,11,35.0,37.0,35.0,0.019290011410001022,0.02156177156177156,1,135,member family ''Batanesi'',,arrested,member,Batanesi,1.0,11,0,0,2,0.7317073170731707,0.6585365853658537,0.15853658536585366,0.08536585365853659,0.6585365853658537,0.49451219512195127
N80,4,5.0,4.0,5.0,0.00632999869228491,0.01150932400932401,1,135,enterpreneur,,arrested,enterpreneur,Unknown,1.0,4,3,3,1,0.36585365853658536,0.5853658536585366,0.5853658536585366,0.5609756097560976,0.3170731707317073,0.48902439024390243
